date,region,avg_temperature_c,precipitation_mm,co2_ppm,temperature_anomaly_c,humidity_percent,Year,Month
11-02-2010,North,12.55,62.28,387.69,0.16,65.79,2010,February
12-02-2010,West,8.88,62.69,388.87,0.14,55.68,2010,February
13-02-2010,South,7.50,84.96,388.16,-0.09,52.16,2010,February
14-02-2010,South,17.87,76.09,392.41,0.28,76.94,2010,February
15-02-2010,North,7.49,111.93,391.33,-0.04,57.82,2010,February
16-02-2010,South,13.53,115.16,391.59,-0.17,63.78,2010,February
17-02-2010,Central,16.77,61.99,391.31,-0.42,53.95,2010,February
18-02-2010,South,15.76,35.92,390.68,0.32,56.02,2010,February
19-02-2010,West,16.73,90.92,392.63,0.03,63.48,2010,February
20-02-2010,West,15.91,46.49,389.53,0.09,69.66,2010,February
21-02-2010,West,20.14,39.96,390.62,0.34,33.94,2010,February
22-02-2010,West,11.22,50.04,391.59,-0.12,65.20,2010,February
23-02-2010,Central,12.32,48.83,388.50,-0.39,56.05,2010,February
24-02-2010,East,11.94,75.31,395.13,0.05,81.83,2010,February
25-02-2010,North,18.35,21.01,390.54,0.12,100.00,2010,February
26-02-2010,West,18.63,33.06,390.72,-0.05,60.69,2010,February
27-02-2010,South,16.83,68.58,392.40,0.47,44.33,2010,February
28-02-2010,West,19.76,75.57,391.89,-0.72,66.40,2010,February
01-03-2010,South,10.32,76.04,390.59,0.37,62.53,2010,March
02-03-2010,South,21.70,40.32,390.74,0.27,88.66,2010,March
03-03-2010,West,21.12,35.54,388.29,0.17,85.00,2010,March
04-03-2010,Central,17.97,47.33,389.72,-0.97,75.38,2010,March
05-03-2010,South,22.16,66.00,391.34,0.42,57.96,2010,March
06-03-2010,South,8.41,97.14,391.24,-0.28,73.13,2010,March
07-03-2010,West,12.93,8.81,392.42,-0.12,68.18,2010,March
08-03-2010,South,12.09,54.48,390.41,-0.02,67.90,2010,March
09-03-2010,South,17.92,26.68,388.52,0.16,46.30,2010,March
10-03-2010,West,10.83,18.69,392.20,0.23,77.74,2010,March
11-03-2010,West,18.06,84.17,392.78,0.30,66.29,2010,March
12-03-2010,North,20.52,73.62,391.98,0.28,63.79,2010,March
13-03-2010,Central,17.82,71.24,390.39,0.11,57.80,2010,March
14-03-2010,Central,16.17,83.03,392.21,0.16,55.48,2010,March
15-03-2010,South,11.09,48.01,395.80,-0.29,68.81,2010,March
16-03-2010,Central,11.65,49.18,390.84,-0.19,44.01,2010,March
17-03-2010,South,20.04,114.64,388.71,0.31,74.47,2010,March
18-03-2010,North,18.16,53.84,389.80,0.29,52.35,2010,March
19-03-2010,West,14.88,78.38,391.63,0.26,40.30,2010,March
20-03-2010,West,13.37,60.16,388.29,-0.12,86.86,2010,March
21-03-2010,West,6.94,13.79,390.97,0.31,54.70,2010,March
22-03-2010,Central,10.76,8.88,391.29,-0.31,56.33,2010,March
23-03-2010,North,22.69,45.53,393.03,0.36,78.61,2010,March
24-03-2010,Central,9.92,86.40,392.70,-0.04,87.25,2010,March
25-03-2010,Central,15.80,79.71,392.04,0.55,46.60,2010,March
26-03-2010,North,19.07,82.85,387.51,-0.41,53.53,2010,March
27-03-2010,North,10.02,35.32,392.15,0.57,54.41,2010,March
28-03-2010,North,15.78,100.40,391.83,-0.07,76.22,2010,March
29-03-2010,North,18.80,35.88,391.17,-0.07,84.67,2010,March
30-03-2010,West,15.09,65.32,388.20,0.10,52.04,2010,March
31-03-2010,East,26.52,59.74,389.64,-0.16,81.98,2010,March
01-04-2010,East,8.37,55.65,389.06,0.02,56.49,2010,April
02-04-2010,North,19.28,93.46,387.80,-0.18,69.03,2010,April
03-04-2010,East,14.35,42.37,390.82,-0.16,49.74,2010,April
04-04-2010,East,18.13,26.26,389.64,0.19,63.54,2010,April
05-04-2010,North,16.81,60.50,394.78,-0.22,63.67,2010,April
06-04-2010,East,12.11,50.00,390.60,-0.18,61.22,2010,April
07-04-2010,Central,15.96,144.43,392.80,-0.36,69.62,2010,April
08-04-2010,South,7.62,76.91,388.52,-0.10,52.92,2010,April
09-04-2010,South,17.46,49.77,390.09,0.44,54.40,2010,April
10-04-2010,North,16.24,33.60,391.04,-0.20,70.25,2010,April
11-04-2010,West,17.60,12.99,389.54,-0.17,81.10,2010,April
12-04-2010,North,19.28,34.37,390.28,0.11,64.73,2010,April
13-04-2010,West,16.52,62.87,390.59,-0.06,71.04,2010,April
14-04-2010,South,15.64,95.68,390.58,0.72,74.10,2010,April
15-04-2010,North,11.53,88.04,393.72,0.00,74.97,2010,April
16-04-2010,Central,12.20,65.73,391.51,0.15,53.56,2010,April
17-04-2010,East,19.80,51.92,391.67,0.34,55.68,2010,April
18-04-2010,West,20.80,66.72,391.77,0.33,56.72,2010,April
19-04-2010,East,14.10,47.03,391.89,0.12,88.14,2010,April
20-04-2010,East,15.24,102.96,390.86,0.01,71.10,2010,April
21-04-2010,North,11.44,55.27,390.51,0.66,70.56,2010,April
22-04-2010,East,19.75,57.84,391.25,0.03,69.39,2010,April
23-04-2010,Central,17.72,4.60,392.74,-0.08,49.15,2010,April
24-04-2010,East,22.82,55.11,392.71,-0.14,88.26,2010,April
25-04-2010,North,11.54,80.91,390.67,-0.46,70.75,2010,April
26-04-2010,Central,13.55,33.31,392.19,0.30,73.68,2010,April
27-04-2010,South,15.98,41.23,390.75,-0.65,43.81,2010,April
28-04-2010,East,17.64,79.82,391.10,0.06,74.36,2010,April
29-04-2010,North,14.20,23.08,390.35,0.00,60.73,2010,April
30-04-2010,South,11.57,86.45,390.80,0.73,49.13,2010,April
01-05-2010,South,18.59,46.70,393.09,-0.49,53.55,2010,May
02-05-2010,West,17.95,50.29,391.23,-0.21,49.82,2010,May
03-05-2010,Central,11.40,31.90,391.30,0.02,49.62,2010,May
04-05-2010,East,20.48,69.45,388.94,0.00,65.73,2010,May
05-05-2010,North,19.74,121.50,390.65,-0.10,60.36,2010,May
06-05-2010,West,15.60,79.54,390.76,0.04,69.01,2010,May
07-05-2010,Central,15.38,38.39,389.89,-0.31,85.11,2010,May
08-05-2010,West,17.28,88.39,391.18,0.17,63.45,2010,May
09-05-2010,Central,11.62,52.08,390.51,-0.63,38.06,2010,May
10-05-2010,Central,15.18,94.36,391.28,0.06,62.10,2010,May
11-05-2010,East,6.46,80.17,391.35,-0.12,79.32,2010,May
12-05-2010,Central,18.57,13.58,389.75,0.37,63.97,2010,May
13-05-2010,West,8.82,34.90,390.59,0.59,83.35,2010,May
14-05-2010,Central,21.08,83.61,391.31,-0.03,70.44,2010,May
15-05-2010,East,13.75,63.79,392.98,0.48,42.94,2010,May
16-05-2010,East,14.22,34.41,391.60,-0.03,66.31,2010,May
17-05-2010,West,12.56,44.16,390.23,-0.22,68.56,2010,May
18-05-2010,South,13.92,12.34,391.83,0.59,77.96,2010,May
19-05-2010,South,20.74,57.79,393.80,0.23,86.84,2010,May
20-05-2010,Central,5.12,115.27,392.63,0.07,75.89,2010,May
21-05-2010,North,20.18,80.12,392.08,0.28,70.29,2010,May
22-05-2010,Central,16.42,114.76,392.36,0.15,73.11,2010,May
23-05-2010,West,10.24,82.06,393.44,0.05,62.98,2010,May
24-05-2010,West,10.77,85.69,392.90,-0.33,47.45,2010,May
25-05-2010,West,21.78,109.35,392.15,-0.01,65.50,2010,May
26-05-2010,West,11.29,69.43,392.91,0.26,69.38,2010,May
27-05-2010,West,10.46,55.32,389.69,0.04,50.56,2010,May
28-05-2010,East,19.62,85.82,389.07,0.34,80.92,2010,May
29-05-2010,South,16.43,96.35,391.57,0.19,77.06,2010,May
30-05-2010,West,11.32,48.00,391.44,-0.19,48.54,2010,May
31-05-2010,North,15.94,41.96,390.53,-0.32,81.39,2010,May
01-06-2010,North,10.97,63.47,392.60,0.03,61.30,2010,June
02-06-2010,North,19.48,80.79,388.57,-0.08,55.66,2010,June
03-06-2010,North,19.32,79.95,390.58,0.18,77.95,2010,June
04-06-2010,East,17.21,24.40,390.66,-0.14,64.39,2010,June
05-06-2010,North,16.52,107.79,388.94,-0.11,87.79,2010,June
06-06-2010,West,22.12,43.97,393.65,0.39,54.77,2010,June
07-06-2010,Central,15.08,53.37,389.37,0.12,44.22,2010,June
08-06-2010,North,10.35,37.43,390.54,-0.13,61.63,2010,June
09-06-2010,East,16.88,127.46,392.79,0.08,74.47,2010,June
10-06-2010,East,23.42,66.05,392.41,0.49,53.87,2010,June
11-06-2010,North,11.02,38.73,389.79,0.17,49.04,2010,June
12-06-2010,Central,13.64,81.60,392.48,0.26,67.75,2010,June
13-06-2010,North,16.75,79.23,391.90,-0.14,47.44,2010,June
14-06-2010,East,14.87,55.31,394.98,0.39,68.68,2010,June
15-06-2010,South,11.15,81.02,392.09,0.78,60.91,2010,June
16-06-2010,West,19.57,39.37,391.28,-0.15,70.93,2010,June
17-06-2010,East,24.36,47.68,390.22,-0.27,48.39,2010,June
18-06-2010,North,15.87,9.74,390.40,0.14,80.58,2010,June
19-06-2010,West,11.47,26.90,390.28,0.35,62.80,2010,June
20-06-2010,North,8.89,105.19,393.59,0.06,74.16,2010,June
21-06-2010,North,16.12,101.04,391.57,-0.23,76.52,2010,June
22-06-2010,South,19.50,61.64,392.40,0.05,51.11,2010,June
23-06-2010,West,16.99,101.57,393.83,0.27,75.59,2010,June
24-06-2010,West,15.08,56.00,388.03,-0.04,47.90,2010,June
25-06-2010,South,12.73,53.91,393.49,0.27,48.56,2010,June
26-06-2010,East,10.72,61.41,391.67,0.44,88.57,2010,June
27-06-2010,North,18.43,56.88,392.25,0.16,78.34,2010,June
28-06-2010,Central,18.74,54.62,390.36,0.08,89.88,2010,June
29-06-2010,North,8.91,88.58,390.48,0.34,60.56,2010,June
30-06-2010,North,21.45,63.75,392.35,-0.17,66.23,2010,June
01-07-2010,East,17.39,77.81,395.21,-0.20,71.33,2010,July
02-07-2010,North,20.69,85.78,393.14,0.01,64.85,2010,July
03-07-2010,South,9.72,69.70,393.55,-0.06,56.05,2010,July
04-07-2010,South,9.63,35.74,391.37,-0.15,54.25,2010,July
05-07-2010,West,14.50,26.18,390.77,0.64,67.57,2010,July
06-07-2010,Central,17.10,63.72,390.50,0.74,52.20,2010,July
07-07-2010,North,22.28,55.72,390.95,-0.01,51.86,2010,July
08-07-2010,North,17.92,62.18,388.61,0.12,69.72,2010,July
09-07-2010,East,14.12,59.60,390.61,0.04,63.86,2010,July
10-07-2010,South,10.99,124.59,390.87,0.43,76.25,2010,July
11-07-2010,Central,20.02,26.74,391.46,0.49,59.90,2010,July
12-07-2010,West,11.24,10.25,391.93,-0.44,58.02,2010,July
13-07-2010,South,21.61,68.31,392.28,0.24,70.08,2010,July
14-07-2010,West,13.96,50.59,391.72,-0.30,55.26,2010,July
15-07-2010,East,21.46,67.90,390.88,0.63,57.10,2010,July
16-07-2010,East,17.81,74.60,388.82,0.23,57.58,2010,July
17-07-2010,North,14.55,92.10,390.91,-0.15,62.48,2010,July
18-07-2010,Central,13.02,22.32,390.32,0.03,86.27,2010,July
19-07-2010,West,13.74,46.08,392.49,0.01,48.48,2010,July
20-07-2010,South,16.81,70.72,393.16,0.26,80.55,2010,July
21-07-2010,East,15.41,79.26,393.22,0.41,73.85,2010,July
22-07-2010,North,12.73,114.84,392.95,-0.24,83.80,2010,July
23-07-2010,North,14.44,83.89,391.63,0.65,100.00,2010,July
24-07-2010,West,15.42,58.58,391.05,0.58,82.18,2010,July
25-07-2010,East,6.59,37.74,390.72,-0.16,76.11,2010,July
26-07-2010,Central,16.94,45.89,389.59,0.12,49.25,2010,July
27-07-2010,East,11.18,45.18,393.35,0.62,50.77,2010,July
28-07-2010,West,10.49,76.38,391.61,0.47,69.32,2010,July
29-07-2010,West,8.36,66.42,390.01,0.00,44.62,2010,July
30-07-2010,East,7.93,26.91,390.65,0.35,72.39,2010,July
31-07-2010,West,9.68,49.10,390.60,1.00,39.38,2010,July
01-08-2010,East,12.27,81.94,391.97,0.14,78.83,2010,August
02-08-2010,South,22.92,68.79,393.52,-0.08,61.14,2010,August
03-08-2010,East,13.00,74.22,391.40,0.16,66.52,2010,August
04-08-2010,East,15.82,69.57,388.56,0.18,56.02,2010,August
05-08-2010,West,16.71,100.66,391.66,-0.05,42.22,2010,August
06-08-2010,West,15.63,65.90,391.72,0.24,79.82,2010,August
07-08-2010,North,14.80,50.35,391.63,-0.27,81.03,2010,August
08-08-2010,North,10.33,37.11,391.03,-0.09,60.78,2010,August
09-08-2010,South,20.91,66.24,392.31,0.34,72.94,2010,August
10-08-2010,North,22.34,1.02,392.09,-0.42,60.31,2010,August
11-08-2010,East,8.38,55.39,391.96,0.38,68.46,2010,August
12-08-2010,West,11.02,54.85,392.63,-0.49,74.11,2010,August
13-08-2010,North,13.99,25.89,391.37,-0.41,71.66,2010,August
14-08-2010,North,11.25,36.79,391.30,-0.04,81.09,2010,August
15-08-2010,South,17.14,80.24,394.10,0.20,71.23,2010,August
16-08-2010,South,12.20,65.77,392.88,0.51,65.34,2010,August
17-08-2010,East,23.77,62.54,393.29,0.13,55.86,2010,August
18-08-2010,West,19.88,67.66,393.90,0.04,59.26,2010,August
19-08-2010,South,15.97,62.32,392.86,0.29,74.72,2010,August
20-08-2010,North,19.22,91.07,393.47,-0.15,46.98,2010,August
21-08-2010,West,19.54,63.09,389.72,0.16,78.27,2010,August
22-08-2010,West,12.86,23.54,392.40,-0.24,61.63,2010,August
23-08-2010,North,11.85,100.75,391.83,0.14,55.18,2010,August
24-08-2010,South,15.43,69.26,394.63,0.08,51.82,2010,August
25-08-2010,North,18.56,45.27,393.52,-0.12,73.09,2010,August
26-08-2010,West,15.67,28.66,391.19,0.17,64.82,2010,August
27-08-2010,Central,8.81,69.90,392.70,0.17,84.07,2010,August
28-08-2010,Central,11.91,57.07,392.40,0.47,49.84,2010,August
29-08-2010,East,14.82,99.35,392.84,-0.36,58.06,2010,August
30-08-2010,North,14.82,51.35,390.64,0.10,63.89,2010,August
31-08-2010,North,23.01,39.07,392.72,-0.11,55.98,2010,August
01-09-2010,East,9.58,82.39,391.85,0.38,65.07,2010,September
02-09-2010,East,17.14,83.13,392.62,0.35,68.83,2010,September
03-09-2010,East,21.08,64.22,391.12,0.27,70.81,2010,September
04-09-2010,West,24.21,76.91,391.34,-0.09,83.07,2010,September
05-09-2010,North,13.51,59.06,393.98,0.39,49.36,2010,September
06-09-2010,West,17.09,65.85,390.66,-0.34,69.05,2010,September
07-09-2010,East,17.40,89.12,390.77,-0.40,57.24,2010,September
08-09-2010,North,15.91,75.63,392.17,-0.26,70.16,2010,September
09-09-2010,West,14.73,55.77,391.10,0.12,70.18,2010,September
10-09-2010,West,16.87,93.81,390.94,0.33,53.16,2010,September
11-09-2010,East,5.00,0.88,392.44,-0.77,54.19,2010,September
12-09-2010,North,17.86,111.30,390.03,0.52,71.14,2010,September
13-09-2010,East,15.63,17.35,390.78,0.17,65.28,2010,September
14-09-2010,North,14.24,44.32,395.39,-0.34,62.36,2010,September
15-09-2010,Central,23.32,58.98,393.00,0.16,72.90,2010,September
16-09-2010,South,12.43,56.34,391.20,0.46,73.78,2010,September
17-09-2010,South,13.52,85.16,392.96,0.31,58.64,2010,September
18-09-2010,South,23.10,33.55,393.19,0.46,54.78,2010,September
19-09-2010,East,11.80,66.52,393.84,-0.28,49.86,2010,September
20-09-2010,Central,12.93,45.54,392.17,0.01,65.40,2010,September
21-09-2010,North,14.54,67.38,393.83,-0.15,47.92,2010,September
22-09-2010,West,18.49,58.38,389.32,0.65,66.19,2010,September
23-09-2010,North,15.96,62.32,390.80,0.32,79.60,2010,September
24-09-2010,West,9.96,46.25,392.64,0.99,60.76,2010,September
25-09-2010,North,13.00,47.25,392.90,-0.01,58.57,2010,September
26-09-2010,Central,12.70,67.18,391.04,-0.08,88.97,2010,September
27-09-2010,West,14.83,83.59,392.81,0.09,83.12,2010,September
28-09-2010,East,16.84,45.04,391.49,0.55,55.82,2010,September
29-09-2010,North,16.81,38.28,392.02,0.03,66.67,2010,September
30-09-2010,North,8.03,75.34,393.99,0.17,68.94,2010,September
01-10-2010,West,19.39,59.19,393.82,0.17,67.44,2010,October
02-10-2010,East,16.15,80.76,390.97,0.15,86.78,2010,October
03-10-2010,East,20.68,37.36,390.89,-0.06,66.05,2010,October
04-10-2010,Central,16.91,15.51,391.87,0.10,67.85,2010,October
05-10-2010,East,19.54,46.67,392.45,0.08,73.26,2010,October
06-10-2010,East,17.01,40.84,391.52,0.14,79.28,2010,October
07-10-2010,East,20.52,58.03,394.07,0.42,76.24,2010,October
08-10-2010,South,17.23,44.08,393.04,0.67,71.46,2010,October
09-10-2010,Central,14.75,78.53,393.14,-0.11,46.30,2010,October
10-10-2010,North,24.23,52.80,390.64,0.02,59.14,2010,October
11-10-2010,West,18.70,63.76,394.30,-0.11,74.83,2010,October
12-10-2010,North,17.44,63.94,388.33,0.20,68.00,2010,October
13-10-2010,Central,10.04,64.87,393.82,-0.02,74.91,2010,October
14-10-2010,West,9.99,59.40,393.98,0.21,87.65,2010,October
15-10-2010,Central,16.31,72.77,391.93,0.47,50.88,2010,October
16-10-2010,East,15.73,40.11,394.50,-0.61,78.65,2010,October
17-10-2010,West,12.69,94.99,392.51,0.29,61.04,2010,October
18-10-2010,East,15.71,54.09,392.70,0.01,76.22,2010,October
19-10-2010,North,21.50,27.21,393.13,0.28,64.51,2010,October
20-10-2010,North,17.93,64.70,397.41,-0.12,90.52,2010,October
21-10-2010,West,10.58,38.72,394.65,0.51,66.56,2010,October
22-10-2010,West,14.70,76.63,393.70,0.42,57.31,2010,October
23-10-2010,Central,11.93,115.24,391.29,0.32,70.04,2010,October
24-10-2010,Central,13.60,40.34,392.88,0.39,68.89,2010,October
25-10-2010,East,13.49,68.31,391.45,-0.08,78.66,2010,October
26-10-2010,West,13.24,16.11,393.92,-0.04,70.38,2010,October
27-10-2010,North,10.13,71.35,392.90,0.38,94.70,2010,October
28-10-2010,Central,14.64,37.86,391.01,-0.08,63.66,2010,October
29-10-2010,Central,12.91,44.38,392.83,0.58,63.80,2010,October
30-10-2010,North,3.43,32.47,391.44,0.05,57.75,2010,October
31-10-2010,Central,23.36,78.30,392.95,0.30,66.03,2010,October
01-11-2010,East,19.51,85.18,391.45,0.78,67.77,2010,November
02-11-2010,West,13.65,60.58,392.79,-0.06,68.37,2010,November
03-11-2010,North,15.23,38.39,393.88,0.17,65.81,2010,November
04-11-2010,West,10.47,99.74,392.68,0.47,57.68,2010,November
05-11-2010,Central,21.94,41.24,392.19,0.44,54.42,2010,November
06-11-2010,Central,22.74,5.95,393.09,0.06,60.50,2010,November
07-11-2010,North,15.78,71.46,393.84,0.00,78.70,2010,November
08-11-2010,East,19.25,32.38,391.14,0.09,81.28,2010,November
09-11-2010,South,15.86,84.72,393.20,0.59,64.08,2010,November
10-11-2010,North,9.81,50.47,394.79,0.07,53.70,2010,November
11-11-2010,South,13.51,75.09,393.69,0.18,64.03,2010,November
12-11-2010,South,15.69,95.04,392.92,0.03,90.10,2010,November
13-11-2010,East,13.34,29.78,393.80,0.37,76.99,2010,November
14-11-2010,South,14.28,45.85,393.53,0.21,71.61,2010,November
15-11-2010,South,14.79,58.11,393.99,-0.14,76.55,2010,November
16-11-2010,East,14.84,98.44,389.84,-0.13,83.49,2010,November
17-11-2010,South,15.37,43.54,390.55,-0.44,51.17,2010,November
18-11-2010,South,10.92,45.14,394.40,-0.09,60.30,2010,November
19-11-2010,South,12.29,71.95,390.64,0.40,58.66,2010,November
20-11-2010,North,10.02,45.57,393.51,0.56,72.05,2010,November
21-11-2010,North,19.07,63.81,392.39,0.37,66.92,2010,November
22-11-2010,North,6.74,21.21,391.43,0.33,74.08,2010,November
23-11-2010,East,19.78,115.36,393.46,0.13,58.92,2010,November
24-11-2010,Central,20.71,26.31,393.25,0.40,81.46,2010,November
25-11-2010,South,13.96,51.96,396.12,0.25,64.17,2010,November
26-11-2010,South,4.75,59.19,392.02,0.71,73.33,2010,November
27-11-2010,East,13.72,107.82,395.13,0.14,79.34,2010,November
28-11-2010,South,14.91,26.88,393.51,0.57,78.38,2010,November
29-11-2010,North,11.12,109.59,392.00,0.43,69.33,2010,November
30-11-2010,Central,13.11,78.93,394.20,0.39,74.83,2010,November
01-12-2010,West,21.29,70.43,393.86,-0.44,85.90,2010,December
02-12-2010,South,17.83,35.38,393.07,0.45,71.16,2010,December
03-12-2010,North,11.47,74.28,393.42,0.13,56.24,2010,December
04-12-2010,West,8.78,41.91,392.14,0.04,72.00,2010,December
05-12-2010,Central,13.86,91.67,391.80,-0.28,64.55,2010,December
06-12-2010,West,14.32,35.72,394.19,0.17,36.82,2010,December
07-12-2010,North,17.15,57.17,392.72,0.18,70.54,2010,December
08-12-2010,West,13.03,46.12,392.95,-0.22,66.40,2010,December
09-12-2010,East,17.22,35.31,393.50,-0.27,78.88,2010,December
10-12-2010,West,22.91,78.53,393.49,0.32,56.00,2010,December
11-12-2010,South,18.43,73.39,390.95,0.43,46.93,2010,December
12-12-2010,South,14.98,90.23,395.03,0.23,67.02,2010,December
13-12-2010,East,14.44,15.50,393.30,0.52,69.56,2010,December
14-12-2010,North,13.75,86.60,392.82,0.15,66.13,2010,December
15-12-2010,South,19.90,122.64,393.78,0.16,65.25,2010,December
16-12-2010,Central,12.67,48.71,393.50,-0.10,52.18,2010,December
17-12-2010,South,15.36,107.38,394.30,-0.29,63.33,2010,December
18-12-2010,South,15.38,53.42,393.97,0.73,60.82,2010,December
19-12-2010,North,13.17,25.69,394.25,0.52,77.87,2010,December
20-12-2010,West,9.69,52.36,395.20,-0.24,69.55,2010,December
21-12-2010,South,16.47,86.21,394.51,0.22,61.66,2010,December
22-12-2010,East,14.93,39.05,392.95,0.15,85.69,2010,December
23-12-2010,West,17.18,44.99,391.52,0.10,61.77,2010,December
24-12-2010,Central,13.04,74.84,395.72,0.06,71.69,2010,December
25-12-2010,North,20.06,60.08,392.87,0.29,63.00,2010,December
26-12-2010,Central,11.67,74.62,392.52,0.42,84.57,2010,December
27-12-2010,West,22.03,65.95,390.64,0.30,66.04,2010,December
28-12-2010,West,8.19,71.99,393.76,0.14,66.40,2010,December
29-12-2010,West,16.92,49.19,393.48,0.13,63.32,2010,December
30-12-2010,Central,17.08,65.79,390.99,0.46,67.36,2010,December
31-12-2010,West,12.00,36.82,393.96,0.32,79.39,2010,December
01-01-2011,Central,16.88,92.21,392.54,0.20,75.15,2011,January
02-01-2011,West,20.30,44.14,397.33,0.17,65.34,2011,January
03-01-2011,East,6.32,88.22,392.45,0.29,85.42,2011,January
04-01-2011,West,17.20,54.16,392.66,0.04,75.48,2011,January
05-01-2011,Central,5.21,65.05,392.01,0.43,59.74,2011,January
06-01-2011,South,11.32,47.63,395.25,-0.14,48.44,2011,January
07-01-2011,West,21.70,34.60,392.78,0.06,60.02,2011,January
08-01-2011,South,12.86,16.38,392.26,0.37,69.96,2011,January
09-01-2011,East,10.49,33.62,394.42,-0.15,72.17,2011,January
10-01-2011,North,14.40,51.90,391.30,-0.28,81.31,2011,January
11-01-2011,East,23.46,65.30,394.31,0.21,51.87,2011,January
12-01-2011,West,7.86,85.26,396.06,-0.32,59.73,2011,January
13-01-2011,South,10.98,48.86,394.24,-0.20,50.87,2011,January
14-01-2011,South,21.18,37.95,394.36,0.42,48.93,2011,January
15-01-2011,Central,22.62,23.93,394.72,0.13,57.47,2011,January
16-01-2011,South,14.78,72.00,395.99,0.58,69.40,2011,January
17-01-2011,Central,10.23,94.58,395.24,-0.17,74.26,2011,January
18-01-2011,North,23.57,91.66,394.10,0.16,53.62,2011,January
19-01-2011,West,21.57,77.75,394.80,0.31,55.29,2011,January
20-01-2011,Central,17.91,75.96,392.13,-0.16,43.64,2011,January
21-01-2011,North,11.94,102.44,394.63,0.50,67.57,2011,January
22-01-2011,South,15.00,68.30,391.97,0.35,56.21,2011,January
23-01-2011,South,14.55,76.15,392.93,-0.29,84.96,2011,January
24-01-2011,North,16.52,51.98,388.87,0.18,69.92,2011,January
25-01-2011,South,21.00,25.95,394.10,0.31,62.94,2011,January
26-01-2011,North,18.71,42.90,392.54,0.02,57.31,2011,January
27-01-2011,Central,10.89,59.77,395.19,-0.25,47.06,2011,January
28-01-2011,Central,20.70,61.52,394.11,0.28,48.59,2011,January
29-01-2011,North,16.45,108.16,395.22,0.86,57.53,2011,January
30-01-2011,Central,17.95,62.03,391.92,0.08,56.61,2011,January
31-01-2011,Central,21.06,89.47,395.11,0.67,53.01,2011,January
01-02-2011,Central,10.75,49.12,396.72,-0.03,69.53,2011,February
02-02-2011,East,15.06,52.21,394.72,0.26,71.17,2011,February
03-02-2011,West,13.07,26.77,394.77,0.43,59.50,2011,February
04-02-2011,South,8.93,41.44,393.85,0.20,88.22,2011,February
05-02-2011,East,16.59,73.17,392.81,0.11,44.04,2011,February
06-02-2011,Central,25.25,60.19,394.75,0.42,65.70,2011,February
